id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1255285457971228673,1254931293101527040,2020-04-29 00:59:09 BST,2020-04-29,00:59:09,+0100,1646737470,jayatetoomuch,Jay Bonsignore,,@JohnCurcieNYWC @BigFoot_Benson In my opinion it's the best written show in television history. The series is about change. The chemistry class Walt teaches in the first episode describes how the show works. Every episode connects and every action has a reaction.,en,[],[],[],0,0,1,[],[],https://twitter.com/jayatetoomuch/status/1255285457971228673,False,,0,,,,,,,,"[{'screen_name': 'JohnCurcieNYWC', 'name': 'John Curcie', 'id': '372294892'}, {'screen_name': 'BigFoot_Benson', 'name': 'CJ Benson', 'id': '872667211869171712'}]",,,,
1255284750086012928,1255284750086012928,2020-04-29 00:56:21 BST,2020-04-29,00:56:21,+0100,604198946,brienthess,Brient C.W. Hess,,#Ummo mistrust for Pictorian intentions not going away after events of the past.  Bigfoot and Yeti are not going to be killed by Ummites unless they pose an imminent danger to health.,en,[],[],[],0,0,0,['ummo'],[],https://twitter.com/brienthess/status/1255284750086012928,False,,0,,,,,,,,[],,,,
1255284528236638208,1255284528236638208,2020-04-29 00:55:28 BST,2020-04-29,00:55:28,+0100,958657323236581376,itsheliocentric,moved to @thesunlittitan,,@justadeathgod // thanatos’ hat is the same color and font as my BIGFOOT IS REAL AND HE TRIED TO EAT MY ASS hat and I keep thinking that’s what he’s wearing,en,[],[],[],0,0,0,[],[],https://twitter.com/itsheliocentric/status/1255284528236638208,False,,0,,,,,,,,[],,,,
1255284406920585217,1255284406920585217,2020-04-29 00:54:59 BST,2020-04-29,00:54:59,+0100,105295517,mfcarrico,Michael F. Carrico 👣🦍👣,,13 Encounters With Bigfoot.  https://t.co/ChPW4HYOEF,en,[],['http://feedproxy.google.com/~r/BigfootEvidence/~3/B0lN2nhRv5g/13-encounters-with-bigfoot.html'],[],0,0,0,[],[],https://twitter.com/MFCarrico/status/1255284406920585217,False,,0,,,,,,,,[],,,,
1255284329518858240,1255284329518858240,2020-04-29 00:54:40 BST,2020-04-29,00:54:40,+0100,128982917,eddiestats,John Brown Dub Club,,"In today’s news, Pentagon confirms UFO 🛸 sightings and Tupac Shakur is alive and well and living in Kentucky. So.   @JacobBronstein I take back everything I said about your Bigfoot theories &amp; gonna look into this 5G thing a little more seriously.",en,"[{'screen_name': 'jacobbronstein', 'name': 'jacob bronstein', 'id': '14929027'}]",[],[],0,0,0,[],[],https://twitter.com/eddiestats/status/1255284329518858240,False,https://twitter.com/akarl_smith/status/1255242864356982787,0,,,,,,,,[],,,,
1255283948210585600,1254987070101237761,2020-04-29 00:53:09 BST,2020-04-29,00:53:09,+0100,1104410673264627712,michellewietbrk,Michelle Wietbrock,,@jteurope @ABC I’m excited for Bigfoot,en,[],[],[],0,0,1,[],[],https://twitter.com/MichelleWietbrk/status/1255283948210585600,False,,0,,,,,,,,"[{'screen_name': 'jteurope', 'name': 'Jim Townsend', 'id': '822476228548403200'}, {'screen_name': 'ABC', 'name': 'ABC News', 'id': '28785486'}]",,,,
1255283339352846340,1255283339352846340,2020-04-29 00:50:44 BST,2020-04-29,00:50:44,+0100,785097817,_caimen_,Caimen,,This guy I work with is convinced the COVID-19 pandemic is a hoax... but firmly believes in “Bigfoot”.,en,[],[],[],2,0,25,[],[],https://twitter.com/_Caimen_/status/1255283339352846340,False,,0,,,,,,,,[],,,,
1255283213376925697,1255283213376925697,2020-04-29 00:50:14 BST,2020-04-29,00:50:14,+0100,903357727816155136,viclovesbravo2,Victoria Scott,,#Win $25 Amazon #BookTour #Giveaway #BookBoost #Nonfiction #TrueStory #Bigfoot #Encounters #BigfootLives #BeckyCook   https://t.co/PsSVw3KYed,en,[],['https://www.silverdaggertours.com/sdsxx-tours/bigfoot-lives-book-tour-and-giveaway'],[],0,0,0,"['win', 'booktour', 'giveaway', 'bookboost', 'nonfiction', 'truestory', 'bigfoot', 'encounters', 'bigfootlives', 'beckycook']",[],https://twitter.com/viclovesbravo2/status/1255283213376925697,False,,0,,,,,,,,[],,,,
1255283108301221888,1255254258796179456,2020-04-29 00:49:49 BST,2020-04-29,00:49:49,+0100,992884347886886912,bigfoot_doc,BigfootDoc,,@CliffBarackman @EvilViergacht @NABigfootCenter Hard to beat Murphy,en,[],[],[],1,0,2,[],[],https://twitter.com/bigfoot_doc/status/1255283108301221888,False,,0,,,,,,,,"[{'screen_name': 'CliffBarackman', 'name': 'Cliff Barackman', 'id': '320549869'}, {'screen_name': 'EvilViergacht', 'name': 'Dr. Werewolf', 'id': '3194315956'}, {'screen_name': 'NABigfootCenter', 'name': 'North American Bigfoot Center', 'id': '1087438045840695296'}]",,,,
1255282841077927936,1254876287761616898,2020-04-29 00:48:45 BST,2020-04-29,00:48:45,+0100,1002374245094252544,bravenewtworld,ĿЄVЄĿ ㄨ² 🧢🇺🇲🏴‍☠️🚀🎸,,"@greg_price11 It's not like these are new different UFOs. Maybe they're aliens, maybe not. But until they make contact it's going to take more than the same ol' same ol' grainy vids and doctored Bigfoot footage to get our attention.",en,[],[],[],0,0,0,[],[],https://twitter.com/BraveNewtWorld/status/1255282841077927936,False,,0,,,,,,,,"[{'screen_name': 'greg_price11', 'name': 'Greg Price', 'id': '896466491587080194'}]",,,,
1255282710496653312,1255282710496653312,2020-04-29 00:48:14 BST,2020-04-29,00:48:14,+0100,3112086729,spirit_n_angels,Spirits&Angels,,"#RADIO Can hunting Bigfoot be fabulous? You bet! OMG,you won’t believe this!  https://t.co/lUazONMCV5",en,[],['http://bit.ly/ITLP051415MP3'],[],0,0,0,['radio'],[],https://twitter.com/Spirit_n_Angels/status/1255282710496653312,False,,0,,,,,,,,[],,,,
1255282570490712069,1255281496866410501,2020-04-29 00:47:41 BST,2020-04-29,00:47:41,+0100,1002374245094252544,bravenewtworld,ĿЄVЄĿ ㄨ² 🧢🇺🇲🏴‍☠️🚀🎸,,"@JamesTreakle It's not like these are new different UFOs. Maybe they're aliens, maybe not. But until they make contact it's going to take more than the same ol' same ol' grainy vids and doctored Bigfoot footage to get our attention.",en,[],[],[],0,0,2,[],[],https://twitter.com/BraveNewtWorld/status/1255282570490712069,False,,0,,,,,,,,"[{'screen_name': 'JamesTreakle', 'name': 'James Treakle 🎬', 'id': '1049413951816126464'}]",,,,
1255282504380096514,1255163884232740865,2020-04-29 00:47:25 BST,2020-04-29,00:47:25,+0100,759779641,kserrott,Kyle Serrott,,@kaileerenee99 There is an alien and Bigfoot hunter who lives in Athens. She’s only here in the summer and she frequents casa. I had many many conversations with her last summer and she’s just a delight. She showed me some photos and she’s a regular on UFO hunters on @HISTORY!,en,"[{'screen_name': 'history', 'name': 'history', 'id': '22692199'}]",[],[],1,0,1,[],[],https://twitter.com/KSerrott/status/1255282504380096514,False,,0,,,,,,,,[],,,,
1255282040334925825,1255282040334925825,2020-04-29 00:45:35 BST,2020-04-29,00:45:35,+0100,105295517,mfcarrico,Michael F. Carrico 👣🦍👣,,Two Hours of Bigfoot.  https://t.co/2SIR1lp4FY,en,[],['http://feedproxy.google.com/~r/BigfootEvidence/~3/ppBhUPxpbe0/two-hours-of-bigfoot.html'],[],0,0,0,[],[],https://twitter.com/MFCarrico/status/1255282040334925825,False,,0,,,,,,,,[],,,,
1255281712118054917,1255166043858837506,2020-04-29 00:44:16 BST,2020-04-29,00:44:16,+0100,259831558,s_m_l_t_o,Steven,,@RonSexsmith I am automatically hooked when I see the words Alien or Bigfoot. Or...Lasagna. Funny how that is.,en,[],[],[],0,0,0,[],[],https://twitter.com/S_M_L_T_O/status/1255281712118054917,False,,0,,,,,,,,"[{'screen_name': 'RonSexsmith', 'name': 'Ron Sexsmith', 'id': '27091328'}]",,,,
1255281503703105537,1255160438448197637,2020-04-29 00:43:27 BST,2020-04-29,00:43:27,+0100,1112602029547900928,celadnd,Rachel Adinda,,@littlel0 Enak ngerasa kayak bigfoot yeti,in,[],[],[],0,0,0,[],[],https://twitter.com/celadnd/status/1255281503703105537,False,,0,,,,,,,,"[{'screen_name': 'littlel0', 'name': 'lil', 'id': '342014405'}]",,,,
1255281012621357057,1255152100272533505,2020-04-29 00:41:30 BST,2020-04-29,00:41:30,+0100,1097749125003706368,j05085369,J,,"@genesimmons Is it possible? Sure. I’d have to see it to believe it. On the other hand I don’t want to see it lol. Kind of like Bigfoot, possible but I  don’t really want to see it.",en,[],[],[],0,0,0,[],[],https://twitter.com/J05085369/status/1255281012621357057,False,,0,,,,,,,,"[{'screen_name': 'genesimmons', 'name': 'Gene Simmons', 'id': '14401698'}]",,,,
1255279689834336256,1255279689834336256,2020-04-29 00:36:14 BST,2020-04-29,00:36:14,+0100,1223984534,freeinews,Free i News,,Two Hours of Bigfoot  https://t.co/mWGN1Qdxcw  https://t.co/LnuUTAYPl5,en,[],['http://www.efreenews.com/a/two-hours-of-bigfoot'],['https://pbs.twimg.com/media/EWumOXQWoAIY-zc.jpg'],0,0,0,[],[],https://twitter.com/freeinews/status/1255279689834336256,False,,1,https://pbs.twimg.com/media/EWumOXQWoAIY-zc.jpg,,,,,,,[],,,,
1255279684163682306,1255279684163682306,2020-04-29 00:36:13 BST,2020-04-29,00:36:13,+0100,2755986901,efreenews_com,eFree News,,Two Hours of Bigfoot  https://t.co/rZ3Y7dfkWk  https://t.co/mvutJmYJm2,en,[],['http://www.efreenews.com/a/two-hours-of-bigfoot'],['https://pbs.twimg.com/media/EWumOD2XYAALHSI.jpg'],0,0,0,[],[],https://twitter.com/eFreeNews_Com/status/1255279684163682306,False,,1,https://pbs.twimg.com/media/EWumOD2XYAALHSI.jpg,,,,,,,[],,,,
1255279475639685121,1255256730042335235,2020-04-29 00:35:23 BST,2020-04-29,00:35:23,+0100,214950903,sgj72,Stephen Graham Jones,,@paulGtremblay What’s that movie where Robin Williams is blurry?  Wouldn’t put it past him to have done a Bigfoot gag with that.,en,[],[],[],1,0,2,[],[],https://twitter.com/SGJ72/status/1255279475639685121,False,,0,,,,,,,,"[{'screen_name': 'paulGtremblay', 'name': 'Paul Tremblay', 'id': '84989108'}]",,,,
